FECHA|CASOS|MUERTES|COUNTRY
30/03/2020|0|0|Belize
31/03/2020|1|0|Belize
01/04/2020|0|0|Belize
02/04/2020|0|0|Belize
03/04/2020|0|0|Belize
04/04/2020|1|0|Belize
05/04/2020|0|0|Belize
06/04/2020|1|1|Belize
07/04/2020|2|0|Belize
08/04/2020|0|0|Belize
09/04/2020|1|0|Belize
10/04/2020|1|0|Belize
11/04/2020|1|1|Belize
12/04/2020|3|0|Belize
13/04/2020|1|0|Belize
14/04/2020|4|0|Belize
17/03/2020|1|0|Benin
18/03/2020|0|0|Benin
19/03/2020|0|0|Benin
20/03/2020|1|0|Benin
21/03/2020|0|0|Benin
22/03/2020|0|0|Benin
23/03/2020|0|0|Benin
24/03/2020|3|0|Benin
25/03/2020|0|0|Benin
26/03/2020|0|0|Benin
27/03/2020|1|0|Benin
28/03/2020|0|0|Benin
29/03/2020|0|0|Benin
30/03/2020|0|0|Benin
31/03/2020|0|0|Benin
01/04/2020|2|0|Benin
02/04/2020|5|0|Benin
03/04/2020|0|0|Benin
04/04/2020|3|0|Benin
05/04/2020|0|0|Benin
06/04/2020|6|0|Benin
07/04/2020|4|1|Benin
08/04/2020|0|0|Benin
09/04/2020|0|0|Benin
10/04/2020|4|0|Benin
11/04/2020|5|0|Benin
12/04/2020|0|0|Benin
13/04/2020|0|0|Benin
14/04/2020|0|0|Benin
20/03/2020|2|0|Bermuda
21/03/2020|0|0|Bermuda
22/03/2020|0|0|Bermuda
23/03/2020|4|0|Bermuda
24/03/2020|0|0|Bermuda
25/03/2020|0|0|Bermuda
26/03/2020|0|0|Bermuda
27/03/2020|9|0|Bermuda
28/03/2020|2|0|Bermuda
29/03/2020|5|0|Bermuda
30/03/2020|0|0|Bermuda
31/03/2020|5|0|Bermuda
01/04/2020|5|0|Bermuda
02/04/2020|0|0|Bermuda
03/04/2020|3|0|Bermuda
04/04/2020|0|0|Bermuda
05/04/2020|2|0|Bermuda
06/04/2020|0|0|Bermuda
07/04/2020|2|2|Bermuda
08/04/2020|0|0|Bermuda
09/04/2020|0|1|Bermuda
10/04/2020|9|1|Bermuda
11/04/2020|0|0|Bermuda
12/04/2020|2|0|Bermuda
13/04/2020|7|0|Bermuda
14/04/2020|0|0|Bermuda
06/03/2020|1|0|Bhutan
13/03/2020|0|0|Bhutan
15/03/2020|0|0|Bhutan
17/03/2020|0|0|Bhutan
18/03/2020|0|0|Bhutan
19/03/2020|0|0|Bhutan
20/03/2020|0|0|Bhutan
21/03/2020|1|0|Bhutan
22/03/2020|0|0|Bhutan
23/03/2020|0|0|Bhutan
24/03/2020|0|0|Bhutan
25/03/2020|0|0|Bhutan
26/03/2020|1|0|Bhutan
27/03/2020|0|0|Bhutan
